key,country,classification,common_name_french_CM_doc,common_name_english_CM_doc,scientific_name_CM_doc,scientific_name_CM_final,category,common_name_french_wikipedia,common_name_french_IUCN,Fr_common_name_display_CM_final,common_name_prov,comment,scientific_name_label,document_title,date_of_law,source_document,source_type,source_link,source_accessed
369,CM,B,Tortue de forêt,Bell's hinged tortoise,Pelusios gabonensis,,,,,,,"by FrWiki, Pelusios gabonensis is extant in CM but IUCN has no such species; of genus Pelusios, niger and subniger are found in CM but there seems to be no connection to gabonensis; ""Bell's hinged tortoise"" is Kinixys belliana; this is a retired name in IUCN and therefore cannot be correct; need expert opinion",Unknown entry,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
370,CM,B,Tortue molle du Sénégal,Senegal turtule,Cyclanorbis senegalensis,Cyclanorbis senegalensis,VU,N/A,N/A,Tortue molle du Sénégal,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
371,CM,B,Tortue molle élégante,Elegant turtule,Cyclanorbis elegans,Cyclanorbis elegans,CR,N/A,N/A,Tortue molle élégante,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
372,CM,B,Varan des savanes,African savanna monitor,Varanus exanthematicus,Varanus exanthematicus,LC,,Varan des savanes,Varan des savanes,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
373,CM,B,Varan du nil,African small-grain lizard,Varanus niloticus,Varanus niloticus,LC,Varan du Nil,N/A,Varan du Nil,FrWiki,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
374,CM,B,Varan orné,Ornate monitor,Varanus ornatus,,,,,,,"by IUCN, Varanus ornatus is a synonym of Varanus niloticus; the only other occurrences of ornatus are also as synonyms but for species not extant in CM; See also taxonomic notes from Varanus niloticus: ""Although Böhme and Ziegler (1997) elevated Varanus niloticus ornatus, the large forest water monitor of the Congo Basin region, to full species status, a recent molecular analysis by Dowell et al. (2015) indicated that this taxon should be considered a junior synonym of V. niloticus. Varanus niloticus is likely to be a species complex whose taxonomy remains unresolved, but recovered three genetic distinct lineages, in the west, north and southern part of Africa  (Dowell et al. 2015)."" Marking as Duplicate of 373 but expert opinion needed.",Duplicate,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
375,CM,B,Crapaud à petite-langue de Buea,Buea Small-tongue Toad,Werneria preussi,Werneria preussi,EN,N/A,N/A,Crapaud à petite-langue de Buea,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
376,CM,B,Crapaud à petite-langue de Mertens,Mertens Small-tongue Toad,Werneria mertensiana,Werneria mertensiana,CR,N/A,N/A,Crapaud à petite-langue de Mertens,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
377,CM,B,Crapaud à petite-langue de submontage,Submountain Small-tongue Toad,Werneria submontana,Werneria submontana,EN,N/A,N/A,Crapaud à petite-langue de submontage,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
378,CM,B,Crapaud à petite-langue de Tandyi,Tandyi Small-tongue Toad,Werneria tandyi,Werneria tandyi,CR,N/A,N/A,Crapaud à petite-langue de Tandyi,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
379,CM,B,Crapaud à petite-langue de Bamboutos,Bamboutos Small-tongue Toad,Werneria bambutensis,Werneria bambutensis,CR,N/A,N/A,Crapaud à petite-langue de Bamboutos,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
380,CM,B,Crapaud a quatre doigts,Four-digit Toad,Didynamipus sjostedti,Didynamipus sjostedti,VU,N/A,N/A,Crapaud a quatre doigts,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
381,CM,B,Crapaud de Villier,Villier's Toad,Amietophrynus villiersi,Sclerophrys villiersi,VU,N/A,N/A,Crapaud de Villier,National Species Law,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
382,CM,B,Grenouille à doigt-long des montagnes,Highland Long-fingered frog,Cardioglossa venusta,Cardioglossa venusta,EN,N/A,N/A,Grenouille à doigt-long des montagnes,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
383,CM,B,Grenouille à flaque,Puddle Frog,Phrynobatrachus chukuchuku,Phrynobatrachus chukuchuku,CR,N/A,N/A,Grenouille à flaque,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
384,CM,B,Grenouille à lèvres blanches,White-lipped Frog,Hylarana asperrima,Amnirana asperrima,VU,N/A,N/A,Grenouille à lèvres blanches,National Species Law,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
385,CM,B,Grenouille à sifflet de Perret,Perret's Squeaker Frog,Arthroleptis perreti,Arthroleptis perreti,EN,N/A,N/A,Grenouille à sifflet de Perret,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
386,CM,B,Grenouille de nuit de Nganha,Nganha's Night frog,Astylosternus nganhanus,Astylosternus nganhanus,CR,N/A,N/A,Grenouille de nuit de Nganha,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
387,CM,B,Grenouille d'œuf de Mertens,Mertens' Egg Frog,Leptodactylodon mertensi,Leptodactylodon mertensi,EN,N/A,N/A,Grenouille d'œuf de Mertens,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
388,CM,B,Grenouille d'Œuf de Perret,Perret's Egg Frog,Leptodactylodon perreti,Leptodactylodon perreti,EN,N/A,N/A,Grenouille d'Œuf de Perret,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
389,CM,B,Grenouille d'œuf de Wild,Wlid Egg frog,Leptodactylodon wildi,Leptodactylodon wildi,CR,N/A,N/A,Grenouille d'œuf de Wild,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
390,CM,B,Grenouille d'œuf Ornee,Ornate Egg Frog,Leptodactylodon ornatus,Leptodactylodon ornatus,EN,N/A,N/A,Grenouille d'œuf Ornee,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
391,CM,B,Grenouille de rivière roche,Rocky River Frog,Petropedetes juliawurstnerae,Petropedetes juliawurstnerae,EN,N/A,N/A,Grenouille de rivière roche,National Species Law,"NB: by National Species Law, Petropedetes juliawurstnerae and Petropedetes euskircheni share the same common name",Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
392,CM,B,Grenouille de rivière roche,Rocky River Frog,Petropedetes euskircheni,Petropedetes euskircheni,EN,N/A,N/A,Grenouille de rivière roche,National Species Law,"NB: by National Species Law, Petropedetes juliawurstnerae and Petropedetes euskircheni share the same common name",Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
393,CM,B,Grenouille de roseau,Reed frog,Arlequinus krebsi,Arlequinus krebsi,EN,N/A,N/A,Grenouille de roseau,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
394,CM,B,NULL,Rocky River Frog,Petropedetes palmipes,Petropedetes palmipes,VU,N/A,N/A,NULL,No source,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
395,CM,B,NULL,Rocky River Frog,Petropedetes perreti,Petropedetes perreti,CR,N/A,N/A,NULL,No source,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
396,CM,B,NULL,Rocky River Frog,Petropedetesv ulpiae,Petropedetes vulpiae,LC,N/A,N/A,NULL,No source,,Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
