key,country,classification,common_name_french_CM_doc,common_name_english_CM_doc,scientific_name_CM_doc,scientific_name_CM_final,category,common_name_french_wikipedia,common_name_french_IUCN,Fr_common_name_display_CM_final,common_name_prov,comment,scientific_name_label,document_title,date_of_law,source_document,source_type,source_link,source_accessed
253,CM,B,Chouette-pêcheuse de Bouvier,Vermiculated Fishing Owl,Scotopelia bouveri,Scotopelia bouvieri,LC,,Chouette-pêcheuse de Bouvier,Chouette-pêcheuse de Bouvier,IUCN,,Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
254,CM,B,Chouette-pêcheuse de Pel,Pel's Fishing Owl,Scotopelia peli,Scotopelia peli,LC,,Chouette-pêcheuse de Pel,Chouette-pêcheuse de Pel,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
255,CM,B,Circaète cendré,Western Banded Snake Eagle,Circaetus cinerascens,Circaetus cinerascens,LC,,Circaète cendré,Circaète cendré,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
256,CM,B,Cisticole à dos brun,Brown-backed Cisticola,Cisticola discolor,Cisticola chubbi,LC,,Cisticole de Chubb,Cisticole de Chubb,IUCN,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
257,CM,B,Cossyphe d'Isabelle,Mountian Robin Tchat,cossypha isabellae,,,,,,,Duplicate of 258,Duplicate,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
258,CM,B,Cossyphe d'Isabelle,Mountain Robin-Chat,Cossypha isabellae,Cossyphicula isabellae,LC,,Cossyphe d'Isabelle,Cossyphe d'Isabelle,IUCN,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
259,CM,B,Crécerelle renard,Fox Kestrel,Falco alopex,Falco alopex,LC,,Crécerelle renard,Crécerelle renard,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
260,CM,B,Cubla de Gambie,Northern Puffback,Dryoscopus gambensis,Dryoscopus gambensis,LC,,Cubla de Gambie,Cubla de Gambie,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
261,CM,B,Dos-vert à tête noire,Little Oliveback,Nesocharis shelleyi,Nesocharis shelleyi,LC,,Petit Sénégali vert,Petit Sénégali vert,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
262,CM,B,Duc à crinière,Maned Owl,Jubula lettii,Jubula lettii,DD,,Duc à crinière,Duc à crinière,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
