scientific_name,Common Name,Species Class,Threat Class
Jubula lettii,Maned Owl,AVES,DD
Glaucidium perlatum,Pearl-spotted Owlet,AVES,LC
Glaucidium tephronotum,Red-chested Owlet,AVES,LC
Glaucidium sjostedti,Sjostedt's Owlet,AVES,LC
Glaucidium capense,African Barred Owlet,AVES,LC
Glaucidium castaneum,Chestnut Owlet,AVES,LC
Glaucidium albertinum,Albertine Owlet,AVES,VU
Asio abyssinicus,African Long-eared Owl,AVES,LC
Asio flammeus,Short-eared Owl,AVES,LC
Asio capensis,Marsh Owl,AVES,LC
Veles binotatus,Brown Nightjar,AVES,LC
Caprimulgus europaeus,European Nightjar,AVES,LC
Caprimulgus rufigena,Rufous-cheeked Nightjar,AVES,LC
Caprimulgus prigoginei,Prigogine's Nightjar,AVES,EN
Caprimulgus natalensis,Swamp Nightjar,AVES,LC
Caprimulgus inornatus,Plain Nightjar,AVES,LC
Caprimulgus tristigma,Freckled Nightjar,AVES,LC
Caprimulgus batesi,Bates's Nightjar,AVES,LC
Caprimulgus climacurus,Long-tailed Nightjar,AVES,LC
Caprimulgus clarus,Slender-tailed Nightjar,AVES,LC
Caprimulgus fossii,Mozambique Nightjar,AVES,LC
Caprimulgus longipennis,Standard-winged Nightjar,AVES,LC
Caprimulgus vexillarius,Pennant-winged Nightjar,AVES,LC
Columba livia,Rock Dove,AVES,LC
Columba guinea,Speckled Pigeon,AVES,LC
Columba unicincta,Afep Pigeon,AVES,LC
Columba sjostedti,Cameroon Olive-pigeon,AVES,LC
Columba arquatrix,African Olive-pigeon,AVES,LC
Columba albinucha,White-naped Pigeon,AVES,NT
Columba iriditorques,Western Bronze-naped Pigeon,AVES,LC
Columba malherbii,Sao Tome Bronze-naped Pigeon,AVES,NT
Aplopelia larvata,Lemon Dove,AVES,LC
Streptopelia turtur,European Turtle-dove,AVES,VU
Streptopelia hypopyrrha,Adamawa Turtle-dove,AVES,LC
Streptopelia lugens,Dusky Turtle-dove,AVES,LC
Spilopelia senegalensis,Laughing Dove,AVES,LC
Streptopelia decipiens,Mourning Collared-dove,AVES,LC
Streptopelia vinacea,Vinaceous Dove,AVES,LC
Streptopelia capicola,Ring-necked Dove,AVES,LC
Streptopelia semitorquata,Red-eyed Dove,AVES,LC
Streptopelia roseogrisea,African Collared-dove,AVES,LC
Turtur abyssinicus,Black-billed Wood-dove,AVES,LC
Turtur chalcospilos,Emerald-spotted Wood-dove,AVES,LC
Turtur afer,Blue-spotted Wood-dove,AVES,LC
Turtur tympanistria,Tambourine Dove,AVES,LC
Turtur brehmeri,Blue-headed Wood-dove,AVES,LC
Oena capensis,Namaqua Dove,AVES,LC
Treron waalia,Bruce's Green-pigeon,AVES,LC
Neotis denhami,Denham's Bustard,AVES,NT
Neotis nuba,Nubian Bustard,AVES,NT
Ardeotis arabs,Arabian Bustard,AVES,NT
Lophotis savilei,Savile's Bustard,AVES,LC
Eupodotis senegalensis,White-bellied Bustard,AVES,LC
Lissotis melanogaster,Black-bellied Bustard,AVES,LC
Balearica pavonina,Black Crowned Crane,AVES,VU
Balearica regulorum,Grey Crowned Crane,AVES,EN
Bugeranus carunculatus,Wattled Crane,AVES,VU
Podica senegalensis,African Finfoot,AVES,LC
Sarothrura pulchra,White-spotted Flufftail,AVES,LC
Sarothrura elegans,Buff-spotted Flufftail,AVES,LC
Sarothrura rufa,Red-chested Flufftail,AVES,LC
Sarothrura lugens,Chestnut-headed Flufftail,AVES,LC
Sarothrura boehmi,Streaky-breasted Flufftail,AVES,LC
Himantornis haematopus,Nkulengu Rail,AVES,LC
Canirallus oculeus,Grey-throated Rail,AVES,LC
Rallus caerulescens,African Rail,AVES,LC
Crex egregia,African Crake,AVES,LC
Crex crex,Corncrake,AVES,LC
Zapornia flavirostra,Black Crake,AVES,LC
Zapornia pusilla,Baillon's Crake,AVES,LC
Porzana porzana,Spotted Crake,AVES,LC
Amaurornis marginalis,Striped Crake,AVES,LC
Porphyrio porphyrio,Purple Swamphen,AVES,LC
Porphyrio alleni,Allen's Gallinule,AVES,LC
Paragallinula angulata,Lesser Moorhen,AVES,LC
Fulica cristata,Red-knobbed Coot,AVES,LC
Pterocles exustus,Chestnut-bellied Sandgrouse,AVES,LC
Pterocles quadricinctus,Four-banded Sandgrouse,AVES,LC
Gallinago media,Great Snipe,AVES,NT
Gallinago gallinago,Common Snipe,AVES,LC
Gallinago nigripennis,African Snipe,AVES,LC
Lymnocryptes minimus,Jack Snipe,AVES,LC
Limosa limosa,Black-tailed Godwit,AVES,NT
Limosa lapponica,Bar-tailed Godwit,AVES,NT
Numenius phaeopus,Whimbrel,AVES,LC
Numenius arquata,Eurasian Curlew,AVES,NT
Bartramia longicauda,Upland Sandpiper,AVES,LC
Tringa erythropus,Spotted Redshank,AVES,LC
Tringa totanus,Common Redshank,AVES,LC
Tringa stagnatilis,Marsh Sandpiper,AVES,LC
Tringa nebularia,Common Greenshank,AVES,LC
Tringa ochropus,Green Sandpiper,AVES,LC
Tringa glareola,Wood Sandpiper,AVES,LC
Xenus cinereus,Terek Sandpiper,AVES,LC
Actitis hypoleucos,Common Sandpiper,AVES,LC
Actitis macularius,Spotted Sandpiper,AVES,LC
Arenaria interpres,Ruddy Turnstone,AVES,LC
Calidris canutus,Red Knot,AVES,NT
Calidris alba,Sanderling,AVES,LC
Calidris minuta,Little Stint,AVES,LC
Calidris temminckii,Temminck's Stint,AVES,LC
Calidris melanotos,Pectoral Sandpiper,AVES,LC
Calidris alpina,Dunlin,AVES,LC
Calidris ferruginea,Curlew Sandpiper,AVES,NT
Calidris subruficollis,Buff-breasted Sandpiper,AVES,NT
Calidris falcinellus,Broad-billed Sandpiper,AVES,LC
Calidris pugnax,Ruff,AVES,LC
Phalaropus lobatus,Red-necked Phalarope,AVES,LC
Phalaropus fulicarius,Red Phalarope,AVES,LC
Actophilornis africanus,African Jacana,AVES,LC
Microparra capensis,Lesser Jacana,AVES,LC
Burhinus senegalensis,Senegal Thick-knee,AVES,LC
Burhinus vermiculatus,Water Thick-knee,AVES,LC
Burhinus capensis,Spotted Thick-knee,AVES,LC
Recurvirostra avosetta,Pied Avocet,AVES,LC
Pluvialis fulva,Pacific Golden Plover,AVES,LC
Pluvialis squatarola,Grey Plover,AVES,LC
Charadrius hiaticula,Common Ringed Plover,AVES,LC
Charadrius dubius,Little Ringed Plover,AVES,LC
Charadrius pecuarius,Kittlitz's Plover,AVES,LC
Charadrius forbesi,Forbes's Plover,AVES,LC
Charadrius marginatus,White-fronted Plover,AVES,LC
Charadrius mongolus,Lesser Sandplover,AVES,LC
Charadrius asiaticus,Caspian Plover,AVES,LC
Vanellus crassirostris,Long-toed Lapwing,AVES,LC
Vanellus armatus,Blacksmith Lapwing,AVES,LC
Vanellus spinosus,Spur-winged Lapwing,AVES,LC
Vanellus tectus,Black-headed Lapwing,AVES,LC
Vanellus albiceps,White-headed Lapwing,AVES,LC
Vanellus senegallus,Wattled Lapwing,AVES,LC
Vanellus lugubris,Senegal Lapwing,AVES,LC
Vanellus coronatus,Crowned Lapwing,AVES,LC
Vanellus superciliosus,Brown-chested Lapwing,AVES,LC
Vanellus gregarius,Sociable Lapwing,AVES,CR
Pluvianus aegyptius,Egyptian Plover,AVES,LC
Rhinoptilus chalcopterus,Bronze-winged Courser,AVES,LC
Cursorius temminckii,Temminck's Courser,AVES,LC
Glareola pratincola,Collared Pratincole,AVES,LC
Glareola nordmanni,Black-winged Pratincole,AVES,NT
Glareola nuchalis,Rock Pratincole,AVES,LC
Glareola cinerea,Grey Pratincole,AVES,LC
Stercorarius pomarinus,Pomarine Jaeger,AVES,LC
Stercorarius parasiticus,Arctic Jaeger,AVES,LC
Rynchops flavirostris,African Skimmer,AVES,NT
Larus dominicanus,Kelp Gull,AVES,LC
Larus fuscus,Lesser Black-backed Gull,AVES,LC
Larus cirrocephalus,Grey-headed Gull,AVES,LC
Larus ridibundus,Black-headed Gull,AVES,LC
Hydrocoloeus minutus,Little Gull,AVES,LC
Xema sabini,Sabine's Gull,AVES,LC
Hydroprogne caspia,Caspian Tern,AVES,LC
Thalasseus maximus,Royal Tern,AVES,LC
Thalasseus sandvicensis,Sandwich Tern,AVES,LC
Sterna dougallii,Roseate Tern,AVES,LC
Sterna hirundo,Common Tern,AVES,LC
Sterna paradisaea,Arctic Tern,AVES,LC
Sternula albifrons,Little Tern,AVES,LC
Sternula balaenarum,Damara Tern,AVES,VU
Onychoprion anaethetus,Bridled Tern,AVES,LC
Onychoprion fuscatus,Sooty Tern,AVES,LC
Chlidonias hybrida,Whiskered Tern,AVES,LC
Chlidonias leucopterus,White-winged Tern,AVES,LC
Chlidonias niger,Black Tern,AVES,LC
Anous stolidus,Brown Noddy,AVES,LC
Anous minutus,Black Noddy,AVES,LC
Pandion haliaetus,Osprey,AVES,LC
Aviceda cuculoides,African Cuckoo-hawk,AVES,LC
Pernis apivorus,European Honey-buzzard,AVES,LC
Macheiramphus alcinus,Bat Hawk,AVES,LC
Elanus caeruleus,Black-winged Kite,AVES,LC
Chelictinia riocourii,Scissor-tailed Kite,AVES,LC
Haliaeetus vocifer,African Fish-eagle,AVES,LC
Gypohierax angolensis,Palm-nut Vulture,AVES,LC
Neophron percnopterus,Egyptian Vulture,AVES,EN
Necrosyrtes monachus,Hooded Vulture,AVES,CR
Gyps africanus,White-backed Vulture,AVES,CR
Gyps rueppelli,Rüppell's Vulture,AVES,CR
Gyps coprotheres,Cape Vulture,AVES,EN
Torgos tracheliotos,Lappet-faced Vulture,AVES,EN
Trigonoceps occipitalis,White-headed Vulture,AVES,CR
Circaetus cinereus,Brown Snake-eagle,AVES,LC
Circaetus cinerascens,Western Banded Snake-eagle,AVES,LC
Terathopius ecaudatus,Bateleur,AVES,NT
Dryotriorchis spectabilis,Congo Serpent-eagle,AVES,LC
Circus aeruginosus,Western Marsh-harrier,AVES,LC
Circus ranivorus,African Marsh-harrier,AVES,LC
Circus macrourus,Pallid Harrier,AVES,NT
Circus pygargus,Montagu's Harrier,AVES,LC
Polyboroides typus,African Harrier-hawk,AVES,LC
Kaupifalco monogrammicus,Lizard Buzzard,AVES,LC
Melierax metabates,Dark Chanting-goshawk,AVES,LC
Micronisus gabar,Gabar Goshawk,AVES,LC
Accipiter castanilius,Chestnut-flanked Sparrowhawk,AVES,LC
Accipiter badius,Shikra,AVES,LC
Accipiter brevipes,Levant Sparrowhawk,AVES,LC
Accipiter erythropus,Red-legged Sparrowhawk,AVES,LC
Accipiter minullus,Little Sparrowhawk,AVES,LC
Accipiter ovampensis,Ovambo Sparrowhawk,AVES,LC
Accipiter rufiventris,Rufous-breasted Sparrowhawk,AVES,LC
Accipiter melanoleucus,Black Sparrowhawk,AVES,LC
Urotriorchis macrourus,Long-tailed Hawk,AVES,LC
Butastur rufipennis,Grasshopper Buzzard,AVES,LC
Buteo auguralis,Red-necked Buzzard,AVES,LC
Clanga pomarina,Lesser Spotted Eagle,AVES,LC
Clanga clanga,Greater Spotted Eagle,AVES,VU
Aquila rapax,Tawny Eagle,AVES,VU
Aquila nipalensis,Steppe Eagle,AVES,EN
Aquila heliaca,Eastern Imperial Eagle,AVES,VU
Aquila verreauxii,Verreaux's Eagle,AVES,LC
Hieraaetus wahlbergi,Wahlberg's Eagle,AVES,LC
Aquila spilogaster,African Hawk-eagle,AVES,LC
Hieraaetus pennatus,Booted Eagle,AVES,LC
Hieraaetus ayresii,Ayres's Hawk-eagle,AVES,LC
Polemaetus bellicosus,Martial Eagle,AVES,VU
Lophaetus occipitalis,Long-crested Eagle,AVES,LC
Aquila africana,Cassin's Hawk-eagle,AVES,LC
Stephanoaetus coronatus,Crowned Eagle,AVES,NT
Sagittarius serpentarius,Secretarybird,AVES,VU
Polihierax semitorquatus,African Pygmy-falcon,AVES,LC
Falco naumanni,Lesser Kestrel,AVES,LC
Falco tinnunculus,Common Kestrel,AVES,LC
Falco alopex,Fox Kestrel,AVES,LC
Falco ardosiaceus,Grey Kestrel,AVES,LC
Falco dickinsoni,Dickinson's Kestrel,AVES,LC
Falco vespertinus,Red-footed Falcon,AVES,NT
Falco amurensis,Amur Falcon,AVES,LC
Falco subbuteo,Eurasian Hobby,AVES,LC
Falco cuvierii,African Hobby,AVES,LC
Falco biarmicus,Lanner Falcon,AVES,LC
Falco cherrug,Saker Falcon,AVES,EN
Tachybaptus ruficollis,Little Grebe,AVES,LC
Podiceps cristatus,Great Crested Grebe,AVES,LC
Podiceps nigricollis,Black-necked Grebe,AVES,LC
Phaethon aethereus,Red-billed Tropicbird,AVES,LC
Phaethon lepturus,White-tailed Tropicbird,AVES,LC
Sula leucogaster,Brown Booby,AVES,LC
Anhinga rufa,African Darter,AVES,LC
Microcarbo africanus,Long-tailed Cormorant,AVES,LC
Phalacrocorax carbo,Great Cormorant,AVES,LC
Phalacrocorax capensis,Cape Cormorant,AVES,EN
Egretta ardesiaca,Black Heron,AVES,LC
Ardea cinerea,Grey Heron,AVES,LC
Ardea melanocephala,Black-headed Heron,AVES,LC
Ardea goliath,Goliath Heron,AVES,LC
Ardea purpurea,Purple Heron,AVES,LC
Ardea alba,Great White Egret,AVES,LC
Bubulcus ibis,Cattle Egret,AVES,LC
Ardeola ralloides,Squacco Heron,AVES,LC
Ardeola idae,Madagascar Pond-heron,AVES,EN
Ardeola rufiventris,Rufous-bellied Heron,AVES,LC
Nycticorax nycticorax,Black-crowned Night-heron,AVES,LC
Calherodius leuconotus,White-backed Night-heron,AVES,LC
Tigriornis leucolopha,White-crested Tiger-heron,AVES,LC
Ixobrychus sturmii,Dwarf Bittern,AVES,LC
Botaurus stellaris,Eurasian Bittern,AVES,LC
Scopus umbretta,Hamerkop,AVES,LC
Phoenicopterus roseus,Greater Flamingo,AVES,LC
Phoeniconaias minor,Lesser Flamingo,AVES,NT
Plegadis falcinellus,Glossy Ibis,AVES,LC
Bostrychia hagedash,Hadada Ibis,AVES,LC
Bostrychia olivacea,Olive Ibis,AVES,LC
Bostrychia rara,Spot-breasted Ibis,AVES,LC
Threskiornis aethiopicus,African Sacred Ibis,AVES,LC
Platalea leucorodia,Eurasian Spoonbill,AVES,LC
Platalea alba,African Spoonbill,AVES,LC
Balaeniceps rex,Shoebill,AVES,VU
Pelecanus onocrotalus,Great White Pelican,AVES,LC
Pelecanus rufescens,Pink-backed Pelican,AVES,LC
Mycteria ibis,Yellow-billed Stork,AVES,LC
Anastomus lamelligerus,African Openbill,AVES,LC
Ciconia nigra,Black Stork,AVES,LC
Ciconia abdimii,Abdim's Stork,AVES,LC
Ciconia ciconia,White Stork,AVES,LC
Ephippiorhynchus senegalensis,Saddlebill,AVES,LC
Leptoptilos crumenifer,Marabou,AVES,LC
Spheniscus demersus,African Penguin,AVES,EN
Daption capense,Cape Petrel,AVES,LC
Ardenna gravis,Great Shearwater,AVES,LC
Ardenna grisea,Sooty Shearwater,AVES,NT
Oceanites oceanicus,Wilson's Storm-petrel,AVES,LC
Fregetta tropica,Black-bellied Storm-petrel,AVES,LC
Fregetta grallaria,White-bellied Storm-petrel,AVES,LC
Pitta angolensis,African Pitta,AVES,LC
Pitta reichenowi,Green-breasted Pitta,AVES,LC
Smithornis capensis,African Broadbill,AVES,LC
Smithornis sharpei,Grey-headed Broadbill,AVES,LC
Smithornis rufolateralis,Rufous-sided Broadbill,AVES,LC
Pseudocalyptomena graueri,Grauer's Broadbill,AVES,VU
Lanius collurio,Red-backed Shrike,AVES,LC
Lanius gubernator,Emin's Shrike,AVES,LC
Lanius souzae,Souza's Shrike,AVES,LC
Lanius minor,Lesser Grey Shrike,AVES,LC
Lanius excubitoroides,Grey-backed Fiscal,AVES,LC
Lanius mackinnoni,Mackinnon's Shrike,AVES,LC
Lanius senator,Woodchat Shrike,AVES,LC
Lanius nubicus,Masked Shrike,AVES,LC
Corvinella corvina,Yellow-billed Shrike,AVES,LC
Ptilostomus afer,Piapiac,AVES,LC
Corvus capensis,Cape Crow,AVES,LC
Corvus rhipidurus,Fan-tailed Raven,AVES,LC
Corvus albicollis,White-necked Raven,AVES,LC
Oriolus auratus,African Golden Oriole,AVES,LC
Oriolus brachyrynchus,Western Black-headed Oriole,AVES,LC
Oriolus larvatus,Eastern Black-headed Oriole,AVES,LC
Oriolus percivali,Mountain Oriole,AVES,LC
Oriolus nigripennis,Black-winged Oriole,AVES,LC
Ceblepyris pectoralis,White-breasted Cuckooshrike,AVES,LC
Ceblepyris caesius,Grey Cuckooshrike,AVES,LC
Cyanograucalus azureus,Blue Cuckooshrike,AVES,LC
Ceblepyris graueri,Grauer's Cuckooshrike,AVES,NT
Campephaga petiti,Petit's Cuckooshrike,AVES,LC
Campephaga flava,Black Cuckooshrike,AVES,LC
Campephaga phoenicea,Red-shouldered Cuckooshrike,AVES,LC
Campephaga quiscalina,Purple-throated Cuckooshrike,AVES,LC
Lobotos oriolinus,Eastern Wattled Cuckooshrike,AVES,DD
Dicrurus ludwigii,Square-tailed Drongo,AVES,LC
Dicrurus atripennis,Shining Drongo,AVES,LC
Erythrocercus mccallii,Chestnut-capped Flycatcher,AVES,LC
Elminia longicauda,African Blue-flycatcher,AVES,LC
Elminia albicauda,White-tailed Blue-flycatcher,AVES,LC
Elminia nigromitrata,Dusky Crested-flycatcher,AVES,LC
Elminia albiventris,White-bellied Crested-flycatcher,AVES,LC
Elminia albonotata,White-tailed Crested-flycatcher,AVES,LC
Trochocercus nitens,Western Crested-flycatcher,AVES,LC
Terpsiphone bedfordi,Bedford's Paradise-flycatcher,AVES,NT
Terpsiphone viridis,African Paradise-flycatcher,AVES,LC
Nilaus afer,Brubru,AVES,LC
Dryoscopus gambensis,Northern Puffback,AVES,LC
Dryoscopus cubla,Black-backed Puffback,AVES,LC
Dryoscopus senegalensis,Red-eyed Puffback,AVES,LC
Dryoscopus angolensis,Pink-footed Puffback,AVES,LC
Dryoscopus sabini,Sabine's Puffback,AVES,LC
Bocagia minuta,Marsh Tchagra,AVES,LC
Tchagra senegalus,Black-crowned Tchagra,AVES,LC
Tchagra australis,Brown-crowned Tchagra,AVES,LC
Laniarius luehderi,Lühder's Bush-shrike,AVES,LC
Laniarius bicolor,Swamp Boubou,AVES,LC
Laniarius barbarus,Yellow-crowned Gonolek,AVES,LC
Laniarius erythrogaster,Black-headed Gonolek,AVES,LC
Laniarius mufumbiri,Papyrus Gonolek,AVES,NT
Laniarius atroflavus,Yellow-breasted Boubou,AVES,LC
Laniarius leucorhynchus,Lowland Sooty Boubou,AVES,LC
Chlorophoneus bocagei,Bocage's Bush-shrike,AVES,LC
Chlorophoneus sulfureopectus,Orange-breasted Bush-shrike,AVES,LC
Chlorophoneus nigrifrons,Black-fronted Bush-shrike,AVES,LC
Chlorophoneus kupeensis,Mount Kupe Bush-shrike,AVES,EN
Telophorus dohertyi,Doherty's Bush-shrike,AVES,LC
Malaconotus cruentus,Fiery-breasted Bush-shrike,AVES,LC
Malaconotus lagdeni,Lagden's Bush-shrike,AVES,NT
Malaconotus gladiator,Green-breasted Bush-shrike,AVES,VU
Malaconotus blanchoti,Grey-headed Bush-shrike,AVES,LC
Prionops plumatus,White-crested Helmetshrike,AVES,LC
Prionops alberti,Yellow-crested Helmetshrike,AVES,VU
Prionops rufiventris,Rufous-bellied Helmetshrike,AVES,LC
Prionops retzii,Retz's Helmetshrike,AVES,LC
Megabyas flammulatus,African Shrike-flycatcher,AVES,LC
Bias musicus,Black-and-white Shrike-flycatcher,AVES,LC
Batis diops,Ruwenzori Batis,AVES,LC
Batis margaritae,Margaret's Batis,AVES,LC
Batis molitor,Chinspot Batis,AVES,LC
Batis senegalensis,Senegal Batis,AVES,LC
Batis orientalis,Grey-headed Batis,AVES,LC
Batis minima,Gabon Batis,AVES,LC
Batis ituriensis,Ituri Batis,AVES,LC
Batis occulta,West African Batis,AVES,LC
Batis poensis,Bioko Batis,AVES,LC
Batis minulla,Angola Batis,AVES,LC
Platysteira cyanea,Brown-throated Wattle-eye,AVES,LC
Platysteira laticincta,Banded Wattle-eye,AVES,EN
Platysteira albifrons,White-fronted Wattle-eye,AVES,NT
Platysteira peltata,Black-throated Wattle-eye,AVES,LC
Dyaphorophyia tonsa,White-spotted Wattle-eye,AVES,LC
Dyaphorophyia blissetti,Red-cheeked Wattle-eye,AVES,LC
Dyaphorophyia chalybea,Black-necked Wattle-eye,AVES,LC
Dyaphorophyia jamesoni,Jameson's Wattle-eye,AVES,LC
Picathartes oreas,Grey-necked Rockfowl,AVES,VU
Neocossyphus rufus,Red-tailed Ant-thrush,AVES,LC
Neocossyphus poensis,White-tailed Ant-thrush,AVES,LC
Monticola angolensis,Miombo Rock-thrush,AVES,LC
Monticola saxatilis,Rufous-tailed Rock-thrush,AVES,LC
Monticola solitarius,Blue Rock-thrush,AVES,LC
Geokichla crossleyi,Crossley's Ground-thrush,AVES,NT
Geokichla gurneyi,Orange Ground-thrush,AVES,LC
Geokichla oberlaenderi,Oberländer's Ground-thrush,AVES,NT
Geokichla camaronensis,Black-eared Ground-thrush,AVES,LC
Geokichla princei,Grey Ground-thrush,AVES,LC
Geokichla guttata,Spotted Ground-thrush,AVES,EN
Turdus pelios,African Thrush,AVES,LC
Turdus libonyana,Kurrichane Thrush,AVES,LC
Chamaetylas poliocephala,Brown-chested Alethe,AVES,LC
Chamaetylas poliophrys,Red-throated Alethe,AVES,LC
Alethe castanea,Fire-crested Alethe,AVES,LC
Agricola pallidus,Pale Flycatcher,AVES,LC
Melaenornis fischeri,White-eyed Slaty-flycatcher,AVES,LC
Melaenornis edolioides,Northern Black-flycatcher,AVES,LC
Melaenornis pammelaina,Southern Black-flycatcher,AVES,LC
Melaenornis ardesiacus,Yellow-eyed Black-flycatcher,AVES,LC
Fraseria ocreata,African Forest-flycatcher,AVES,LC
Fraseria cinerascens,White-browed Forest-flycatcher,AVES,LC
Muscicapa striata,Spotted Flycatcher,AVES,LC
Muscicapa gambagae,Gambaga Flycatcher,AVES,LC
Bradornis fuliginosus,Sooty Flycatcher,AVES,LC
Bradornis boehmi,Böhm's Flycatcher,AVES,LC
Muscicapa aquatica,Swamp Flycatcher,AVES,LC
Fraseria olivascens,Olivaceous Flycatcher,AVES,LC
Fraseria lendu,Chapin's Flycatcher,AVES,VU
Muscicapa adusta,African Dusky Flycatcher,AVES,LC
Muscicapa epulata,Little Grey Flycatcher,AVES,LC
Muscicapa sethsmithi,Yellow-footed Flycatcher,AVES,LC
Bradornis comitatus,Dusky-blue Flycatcher,AVES,LC
Fraseria tessmanni,Tessmann's Flycatcher,AVES,LC
Muscicapa cassini,Cassin's Flycatcher,AVES,LC
Fraseria caerulescens,Ashy Flycatcher,AVES,LC
Fraseria griseigularis,Grey-throated Tit-flycatcher,AVES,LC
Fraseria plumbea,Grey Tit-flycatcher,AVES,LC
Ficedula hypoleuca,European Pied Flycatcher,AVES,LC
Ficedula albicollis,Collared Flycatcher,AVES,LC
Ficedula semitorquata,Semi-collared Flycatcher,AVES,LC
Pogonocichla stellata,White-starred Robin,AVES,LC
Sheppardia cyornithopsis,Lowland Akalat,AVES,LC
Sheppardia aequatorialis,Equatorial Akalat,AVES,LC
Luscinia luscinia,Thrush Nightingale,AVES,LC
Luscinia megarhynchos,Common Nightingale,AVES,LC
Oreocossypha isabellae,Mountain Robin-chat,AVES,LC
Cossyphicula roberti,White-bellied Robin-chat,AVES,LC
Dessonornis archeri,Archer's Robin-chat,AVES,LC
Dessonornis caffer,Cape Robin-chat,AVES,LC
Cossypha cyanocampter,Blue-shouldered Robin-chat,AVES,LC
Sheppardia polioptera,Grey-winged Akalat,AVES,LC
Cossypha heuglini,White-browed Robin-chat,AVES,LC
Cossypha natalensis,Red-capped Robin-chat,AVES,LC
Cossypha heinrichi,White-headed Robin-chat,AVES,VU
Cossypha niveicapilla,Snowy-crowned Robin-chat,AVES,LC
Cossypha albicapillus,White-crowned Robin-chat,AVES,LC
Cichladusa arquata,Collared Palm-thrush,AVES,LC
Cichladusa ruficauda,Rufous-tailed Palm-thrush,AVES,LC
Cichladusa guttata,Spotted Palm-thrush,AVES,LC
Tychaedon leucosticta,Forest Scrub-robin,AVES,LC
Tychaedon barbata,Miombo Scrub-robin,AVES,LC
Cercotrichas hartlaubi,Brown-backed Scrub-robin,AVES,LC
Cercotrichas leucophrys,White-browed Scrub-robin,AVES,LC
Cercotrichas galactotes,Rufous-tailed Scrub-robin,AVES,LC
Cercotrichas podobe,Black Scrub-robin,AVES,LC
Phoenicurus phoenicurus,Common Redstart,AVES,LC
Saxicola rubetra,Whinchat,AVES,LC
Saxicola torquatus,Common Stonechat,AVES,LC
Oenanthe hispanica,Black-eared Wheatear,AVES,LC
Oenanthe deserti,Desert Wheatear,AVES,LC
Oenanthe pileata,Capped Wheatear,AVES,LC
Oenanthe isabellina,Isabelline Wheatear,AVES,LC
Oenanthe heuglinii,Heuglin's Wheatear,AVES,LC
Oenanthe familiaris,Familiar Chat,AVES,LC
Myrmecocichla tholloni,Congo Moor-chat,AVES,LC
Myrmecocichla aethiops,Northern Anteater-chat,AVES,LC
Myrmecocichla nigra,Sooty Chat,AVES,LC
Oenanthe albifrons,White-fronted Black-chat,AVES,LC
Myrmecocichla arnotti,Arnot's Chat,AVES,LC
Thamnolaea cinnamomeiventris,Mocking Cliff-chat,AVES,LC
Poeoptera stuhlmanni,Stuhlmann's Starling,AVES,LC
Poeoptera lugubris,Narrow-tailed Starling,AVES,LC
Grafisia torquata,White-collared Starling,AVES,LC
Onychognathus walleri,Waller's Starling,AVES,LC
Onychognathus fulgidus,Chestnut-winged Starling,AVES,LC
Onychognathus tenuirostris,Slender-billed Starling,AVES,LC
Hylopsar purpureiceps,Purple-headed Starling,AVES,LC
Lamprotornis purpureus,Purple Starling,AVES,LC
Lamprotornis nitens,Cape Starling,AVES,LC
Lamprotornis chalcurus,Bronze-tailed Starling,AVES,LC
Lamprotornis chalybaeus,Greater Blue-eared Starling,AVES,LC
Lamprotornis acuticaudus,Sharp-tailed Starling,AVES,LC
Lamprotornis splendidus,Splendid Starling,AVES,LC
Lamprotornis caudatus,Long-tailed Glossy Starling,AVES,LC
Lamprotornis purpuroptera,Rüppell's Starling,AVES,LC
Lamprotornis pulcher,Chestnut-bellied Starling,AVES,LC
Pholia sharpii,Sharpe's Starling,AVES,LC
Cinnyricinclus leucogaster,Violet-backed Starling,AVES,LC
Creatophora cinerea,Wattled Starling,AVES,LC
Buphagus africanus,Yellow-billed Oxpecker,AVES,LC
Buphagus erythrorynchus,Red-billed Oxpecker,AVES,LC
Anthoscopus punctifrons,Sennar Penduline-tit,AVES,LC
Anthoscopus parvulus,Yellow Penduline-tit,AVES,LC
Anthoscopus flavifrons,Forest Penduline-tit,AVES,LC
Pholidornis rushiae,Tit-hylia,AVES,LC
Melaniparus guineensis,Pale-eyed Black Tit,AVES,LC
Melaniparus albiventris,White-bellied Tit,AVES,LC
Melaniparus funereus,Dusky Tit,AVES,LC
Melaniparus fasciiventer,Stripe-breasted Tit,AVES,LC
Melaniparus griseiventris,Miombo Tit,AVES,LC
Pseudochelidon eurystomina,African River Martin,AVES,DD
Riparia congica,Congo Sand Martin,AVES,LC
Neophedina cincta,Banded Martin,AVES,LC
Phedinopsis brazzae,Brazza's Martin,AVES,LC
Pseudhirundo griseopyga,Grey-rumped Swallow,AVES,LC
Hirundo rustica,Barn Swallow,AVES,LC
Hirundo lucida,Red-chested Swallow,AVES,LC
Hirundo aethiopica,Ethiopian Swallow,AVES,LC
Hirundo angolensis,Angola Swallow,AVES,LC
Hirundo albigularis,White-throated Swallow,AVES,LC
Hirundo smithii,Wire-tailed Swallow,AVES,LC
Hirundo nigrita,White-bibbed Swallow,AVES,LC
Hirundo nigrorufa,Black-and-rufous Swallow,AVES,LC
Hirundo atrocaerulea,Blue Swallow,AVES,VU
