scientific_name,Common Name,Species Class,Threat Class
Hippotragus equinus,Roan Antelope,MAMMALIA,LC
Hippotragus niger,Sable Antelope,MAMMALIA,LC
Hyaena hyaena,Striped Hyaena,MAMMALIA,NT
Hybomys basilii,Father Basilio's Striped Mouse,MAMMALIA,EN
Hybomys lunaris,Moon Striped Mouse,MAMMALIA,VU
Hyemoschus aquaticus,Water Chevrotain,MAMMALIA,LC
Hylomyscus parvus,Little Wood Mouse,MAMMALIA,LC
Hylomyscus aeta,Beaded Wood Mouse,MAMMALIA,LC
Hypsignathus monstrosus,Hammer-headed Fruit Bat,MAMMALIA,LC
Hystrix cristata,Crested Porcupine,MAMMALIA,LC
Idiurus macrotis,Long-eared Scaly-tailed Flying Squirrel,MAMMALIA,LC
Idiurus zenkeri,Pygmy Scaly-tailed Flying Squirrel,MAMMALIA,LC
Kerivoula lanosa,Lesser Woolly Bat,MAMMALIA,LC
Kinixys homeana,Home's Hinge-back Tortoise,REPTILIA,VU
Kobus leche,Southern Lechwe,MAMMALIA,NT
Kobus ellipsiprymnus,Waterbuck,MAMMALIA,LC
Kobus kob,Kob,MAMMALIA,LC
Kobus vardonii,Puku,MAMMALIA,NT
Kobus ellipsiprymnus ssp. defassa,Defassa Waterbuck,MAMMALIA,NT
Kogia breviceps,Pygmy Sperm Whale,MAMMALIA,DD
Kogia sima,Dwarf Sperm Whale,MAMMALIA,DD
Lamottemys okuensis,Mount Oku Rat,MAMMALIA,EN
Lavia frons,Yellow-winged Bat,MAMMALIA,LC
Lemniscomys mittendorfi,Mittendorf's Striped Grass Mouse,MAMMALIA,LC
Lepidochelys olivacea,Olive Ridley,REPTILIA,VU
Leptailurus serval,Serval,MAMMALIA,LC
Lophocebus albigena,Grey-cheeked Mangabey,MAMMALIA,VU
Lophocebus aterrimus,Black Mangabey,MAMMALIA,VU
Lophocebus aterrimus ssp. opdenboschi,Southern Black Crested Mangabey,MAMMALIA,VU
Lophuromys medicaudatus,Medium-tailed Brush-furred Rat,MAMMALIA,VU
Lophuromys rahmi,Rahm's Brush-furred Rat,MAMMALIA,NT
Lophuromys sikapusi,Rusty-bellied Brush-furred Rat,MAMMALIA,LC
Loxodonta africana,African Elephant,MAMMALIA,VU
Hydrictis maculicollis,Spotted-necked Otter,MAMMALIA,NT
Lycaon pictus,African Wild Dog,MAMMALIA,EN
Malacomys longipes,Big-eared Swamp Rat,MAMMALIA,LC
Mandrillus leucophaeus,Drill,MAMMALIA,EN
Mandrillus sphinx,Mandrill,MAMMALIA,VU
Mandrillus leucophaeus ssp. poensis,Bioko Drill,MAMMALIA,EN
Smutsia gigantea,Giant Ground Pangolin,MAMMALIA,EN
Smutsia temminckii,Temminck's Pangolin,MAMMALIA,VU
Phataginus tetradactyla,Black-bellied Pangolin,MAMMALIA,VU
Phataginus tricuspis,White-bellied Pangolin,MAMMALIA,EN
Mastomys erythroleucus,Guinea Multimammate Mouse,MAMMALIA,LC
Megaptera novaeangliae,Humpback Whale,MAMMALIA,LC
Mesoplodon densirostris,Blainville's Beaked Whale,MAMMALIA,DD
Micropotamogale ruwenzorii,Rwenzori Otter Shrew,MAMMALIA,LC
Micropteropus intermedius,Hayman's Lesser Epauletted Fruit Bat,MAMMALIA,DD
Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,MAMMALIA,LC
Miniopterus inflatus,Greater Long-fingered Bat,MAMMALIA,LC
Miopithecus talapoin,Southern Talapoin Monkey,MAMMALIA,VU
Mops brachypterus,Sierra Leone Mops Bat,MAMMALIA,LC
Mops condylurus,Angolan Mops Bat,MAMMALIA,LC
