scientific_name,subspecies,category,Common Name,Species Class,Threat Class
Batis orientalis,,LC,Grey-headed Batis,AVES,LC
Batis minima,,LC,Gabon Batis,AVES,LC
Batis occulta,,LC,West African Batis,AVES,LC
Platysteira cyanea,,LC,Brown-throated Wattle-eye,AVES,LC
Dyaphorophyia tonsa,,LC,White-spotted Wattle-eye,AVES,LC
Picathartes oreas,,VU,Grey-necked Rockfowl,AVES,VU
Neocossyphus rufus,,LC,Red-tailed Ant-thrush,AVES,LC
Neocossyphus poensis,,LC,White-tailed Ant-thrush,AVES,LC
Monticola saxatilis,,LC,Rufous-tailed Rock-thrush,AVES,LC
Turdus pelios,,LC,African Thrush,AVES,LC
Chamaetylas poliocephala,,LC,Brown-chested Alethe,AVES,LC
Alethe castanea,,LC,Fire-crested Alethe,AVES,LC
Agricola pallidus,,LC,Pale Flycatcher,AVES,LC
Melaenornis edolioides,,LC,Northern Black-flycatcher,AVES,LC
Fraseria ocreata,,LC,African Forest-flycatcher,AVES,LC
Fraseria cinerascens,,LC,White-browed Forest-flycatcher,AVES,LC
Muscicapa striata,,LC,Spotted Flycatcher,AVES,LC
Muscicapa gambagae,,LC,Gambaga Flycatcher,AVES,LC
Bradornis fuliginosus,,LC,Sooty Flycatcher,AVES,LC
Muscicapa aquatica,,LC,Swamp Flycatcher,AVES,LC
Fraseria olivascens,,LC,Olivaceous Flycatcher,AVES,LC
Muscicapa adusta,,LC,African Dusky Flycatcher,AVES,LC
Muscicapa epulata,,LC,Little Grey Flycatcher,AVES,LC
Muscicapa sethsmithi,,LC,Yellow-footed Flycatcher,AVES,LC
Bradornis comitatus,,LC,Dusky-blue Flycatcher,AVES,LC
Muscicapa cassini,,LC,Cassin's Flycatcher,AVES,LC
Fraseria caerulescens,,LC,Ashy Flycatcher,AVES,LC
Fraseria griseigularis,,LC,Grey-throated Tit-flycatcher,AVES,LC
Fraseria plumbea,,LC,Grey Tit-flycatcher,AVES,LC
Ficedula hypoleuca,,LC,European Pied Flycatcher,AVES,LC
Sheppardia cyornithopsis,,LC,Lowland Akalat,AVES,LC
Luscinia megarhynchos,,LC,Common Nightingale,AVES,LC
Cossypha cyanocampter,,LC,Blue-shouldered Robin-chat,AVES,LC
Sheppardia polioptera,,LC,Grey-winged Akalat,AVES,LC
Cossypha heuglini,,LC,White-browed Robin-chat,AVES,LC
Cossypha natalensis,,LC,Red-capped Robin-chat,AVES,LC
