scientific_name,subspecies,category,Common Name,Species Class,Threat Class
Epomophorus gambianus,,LC,Gambian Epauletted Fruit Bat,MAMMALIA,LC
Erythrocebus patas,,LC,Patas Monkey,MAMMALIA,LC
Euoticus elegantulus,,LC,Southern Needle-clawed Galago,MAMMALIA,LC
Galago senegalensis,,LC,Northern Lesser Galago,MAMMALIA,LC
Eudorcas rufifrons,,VU,Red-fronted Gazelle,MAMMALIA,VU
Giraffa camelopardalis,,VU,Giraffe,MAMMALIA,VU
Gorilla gorilla,,CR,Western Gorilla,MAMMALIA,CR
Gorilla gorilla ssp. gorilla,gorilla,CR,Western Lowland Gorilla,MAMMALIA,CR
Heliosciurus gambianus,,LC,Gambian Sun Squirrel,MAMMALIA,LC
Heliosciurus rufobrachium,,LC,Red-legged Sun Squirrel,MAMMALIA,LC
Hippopotamus amphibius,,VU,Hippopotamus,MAMMALIA,VU
Hipposideros abae,,LC,Aba Roundleaf Bat,MAMMALIA,LC
Hipposideros cyclops,,LC,Cyclops Roundleaf Bat,MAMMALIA,LC
Hipposideros ruber,,LC,Noack's Roundleaf Bat,MAMMALIA,LC
Hippotragus equinus,,LC,Roan Antelope,MAMMALIA,LC
Hyemoschus aquaticus,,LC,Water Chevrotain,MAMMALIA,LC
Hylomyscus parvus,,LC,Little Wood Mouse,MAMMALIA,LC
Hylomyscus aeta,,LC,Beaded Wood Mouse,MAMMALIA,LC
Hypsignathus monstrosus,,LC,Hammer-headed Fruit Bat,MAMMALIA,LC
Idiurus zenkeri,,LC,Pygmy Scaly-tailed Flying Squirrel,MAMMALIA,LC
Kerivoula lanosa,,LC,Lesser Woolly Bat,MAMMALIA,LC
Kobus ellipsiprymnus,,LC,Waterbuck,MAMMALIA,LC
Kobus kob,,LC,Kob,MAMMALIA,LC
Kobus ellipsiprymnus ssp. defassa,defassa,NT,Defassa Waterbuck,MAMMALIA,NT
Lavia frons,,LC,Yellow-winged Bat,MAMMALIA,LC
Leptailurus serval,,LC,Serval,MAMMALIA,LC
Lophocebus albigena,,VU,Grey-cheeked Mangabey,MAMMALIA,VU
Lophuromys sikapusi,,LC,Rusty-bellied Brush-furred Rat,MAMMALIA,LC
Loxodonta africana,,VU,African Elephant,MAMMALIA,VU
Hydrictis maculicollis,,NT,Spotted-necked Otter,MAMMALIA,NT
Lycaon pictus,,EN,African Wild Dog,MAMMALIA,EN
Malacomys longipes,,LC,Big-eared Swamp Rat,MAMMALIA,LC
Smutsia gigantea,,EN,Giant Ground Pangolin,MAMMALIA,EN
Smutsia temminckii,,VU,Temminck's Pangolin,MAMMALIA,VU
Phataginus tetradactyla,,VU,Black-bellied Pangolin,MAMMALIA,VU
Phataginus tricuspis,,EN,White-bellied Pangolin,MAMMALIA,EN
Mastomys erythroleucus,,LC,Guinea Multimammate Mouse,MAMMALIA,LC
Micropteropus pusillus,,LC,Peter's Dwarf Epauletted Fruit Bat,MAMMALIA,LC
Miniopterus inflatus,,LC,Greater Long-fingered Bat,MAMMALIA,LC
Mops brachypterus,,LC,Sierra Leone Mops Bat,MAMMALIA,LC
Mops congicus,,LC,Medje Mops Bat,MAMMALIA,LC
Mops demonstrator,,LC,Mongalla Mops Bat,MAMMALIA,LC
Mops midas,,LC,Midas Mops Bat,MAMMALIA,LC
Mops spurrelli,,LC,Spurrell's Mops Bat,MAMMALIA,LC
Mops thersites,,LC,Railer Bat,MAMMALIA,LC
Mops trevori,,DD,Trevor's Mops Bat,MAMMALIA,DD
Mus goundae,,DD,Gounda Mouse,MAMMALIA,DD
Mus oubanguii,,DD,Oubangui Mouse,MAMMALIA,DD
Myopterus daubentonii,,DD,Daubenton's Free-tailed Bat,MAMMALIA,DD
Myopterus whitleyi,,LC,Bini Free-tailed Bat,MAMMALIA,LC
Myotis bocagii,,LC,Bocage's Mouse-eared Bat,MAMMALIA,LC
Neotragus batesi,,LC,Bates' Pygmy Antelope,MAMMALIA,LC
Nycteris major,,DD,Dja Slit-faced Bat,MAMMALIA,DD
Nycteris thebaica,,LC,Cape Long-eared Bat,MAMMALIA,LC
Oreotragus oreotragus,,LC,Klipspringer,MAMMALIA,LC
Osteolaemus tetraspis,,VU,African Dwarf Crocodile,REPTILIA,VU
Otomops martiensseni,,NT,Large-eared Free-tailed Bat,MAMMALIA,NT
Ourebia ourebi,,LC,Oribi,MAMMALIA,LC
Pan troglodytes,,EN,Chimpanzee,MAMMALIA,EN
Pan troglodytes ssp. troglodytes,troglodytes,EN,Central Chimpanzee,MAMMALIA,EN
Pan troglodytes ssp. schweinfurthii,schweinfurthii,EN,Eastern Chimpanzee,MAMMALIA,EN
Panthera leo,,VU,Lion,MAMMALIA,VU
Panthera pardus,,VU,Leopard,MAMMALIA,VU
Pipistrellus rueppellii,,LC,Rüppel's Pipistrelle,MAMMALIA,LC
Pipistrellus rusticus,,LC,Rusty Bat,MAMMALIA,LC
Potamogale velox,,LC,Giant Otter Shrew,MAMMALIA,LC
Prionomys batesi,,DD,Dollman's Tree Mouse,MAMMALIA,DD
Piliocolobus oustaleti,,VU,Oustalet’s Red Colobus,MAMMALIA,VU
Caracal aurata,,VU,African Golden Cat,MAMMALIA,VU
Redunca redunca,,LC,Bohor Reedbuck,MAMMALIA,LC
Rhinopoma microphyllum,,LC,Greater Mouse-tailed Bat,MAMMALIA,LC
Scotoecus hirundo,,LC,Dark-winged Lesser House Bat,MAMMALIA,LC
Scotophilus leucogaster,,LC,White-bellied Yellow Bat,MAMMALIA,LC
Sylvicapra grimmia,,LC,Common Duiker,MAMMALIA,LC
Syncerus caffer,,NT,African Buffalo,MAMMALIA,NT
Taphozous mauritianus,,LC,Mauritian Tomb Bat,MAMMALIA,LC
Gerbilliscus kempi,,LC,Kemp's Gerbil,MAMMALIA,LC
Gerbilliscus robustus,,LC,Fringe-tailed Gerbil,MAMMALIA,LC
Tragelaphus eurycerus,,NT,Bongo,MAMMALIA,NT
Tragelaphus spekii,,LC,Sitatunga,MAMMALIA,LC
Tragelaphus scriptus,,LC,Bushbuck,MAMMALIA,LC
Tragelaphus strepsiceros,,LC,Greater Kudu,MAMMALIA,LC
Tragelaphus eurycerus ssp. eurycerus,eurycerus,NT,Lowland Bongo,MAMMALIA,NT
Tragelaphus derbianus ssp. gigas,gigas,VU,Eastern Giant Eland,MAMMALIA,VU
Xerus erythropus,,LC,Striped Ground Squirrel,MAMMALIA,LC
Zenkerella insignis,,LC,Cameroon Scaly-tail,MAMMALIA,LC
Diceros bicornis ssp. longipes,longipes,EX,Western Black Rhino,MAMMALIA,EX
Huetia leucorhina,,DD,Congo Golden Mole,MAMMALIA,DD
Atelerix albiventris,,LC,Four-toed Hedgehog,MAMMALIA,LC
Papio anubis,,LC,Olive Baboon,MAMMALIA,LC
Galagoides demidoff,,LC,Demidoff's Dwarf Galago,MAMMALIA,LC
Crocidura mutesae,,DD,Ugandan Musk Shrew,MAMMALIA,DD
Crocidura olivieri,,LC,Olivier's Shrew,MAMMALIA,LC
Orycteropus afer,,LC,Aardvark,MAMMALIA,LC
Nycticeinops schlieffeni,,LC,Schlieffen's Bat,MAMMALIA,LC
Nandinia binotata,,LC,African Palm Civet,MAMMALIA,LC
Atilax paludinosus,,LC,Marsh Mongoose,MAMMALIA,LC
Bdeogale nigripes,,LC,Black-legged Mongoose,MAMMALIA,LC
Crossarchus alexandri,,LC,Alexander's Cusimanse,MAMMALIA,LC
Crossarchus platycephalus,,LC,Flat-headed Cusimanse,MAMMALIA,LC
Dologale dybowskii,,DD,Pousargues's Mongoose,MAMMALIA,DD
Pelusios subniger,,LR/lc,Black-bellied Hinged Terrapin,REPTILIA,LR/lc
Herpestes sanguineus,,LC,Common Slender Mongoose,MAMMALIA,LC
Herpestes ichneumon,,LC,Egyptian Mongoose,MAMMALIA,LC
Herpestes naso,,LC,Long-nosed Mongoose,MAMMALIA,LC
Ichneumia albicauda,,LC,White-tailed Mongoose,MAMMALIA,LC
Mungos mungo,,LC,Banded Mongoose,MAMMALIA,LC
Mellivora capensis,,LC,Honey Badger,MAMMALIA,LC
Ictonyx striatus,,LC,Zorilla,MAMMALIA,LC
Civettictis civetta,,LC,African Civet,MAMMALIA,LC
Genetta genetta,,LC,Common Genet,MAMMALIA,LC
Genetta maculata,,LC,Large-spotted Genet,MAMMALIA,LC
Genetta servalina,,LC,Servaline Genet,MAMMALIA,LC
Poiana richardsonii,,LC,Central African Oyan,MAMMALIA,LC
Procavia capensis,,LC,Rock Hyrax,MAMMALIA,LC
Phacochoerus africanus,,LC,Common Warthog,MAMMALIA,LC
Hylochoerus meinertzhageni,,LC,Forest Hog,MAMMALIA,LC
Potamochoerus porcus,,LC,Red River Hog,MAMMALIA,LC
Lepus victoriae,,LC,African Savanna Hare,MAMMALIA,LC
Tragelaphus derbianus,,VU,Giant Eland,MAMMALIA,VU
Hipposideros gigas,,LC,Giant Leaf-nosed Bat,MAMMALIA,LC
Anomalurus beecrofti,,LC,Beecroft's Scaly-tailed Squirrel,MAMMALIA,LC
Neoromicia capensis,,LC,Cape Bat,MAMMALIA,LC
Neoromicia guineensis,,LC,Guinean Pipistrelle Bat,MAMMALIA,LC
Neoromicia nana,,LC,Banana Pipistrelle Bat,MAMMALIA,LC
Neoromicia rendalli,,LC,Rendall's Serotine,MAMMALIA,LC
Neoromicia somalica,,LC,Somali Serotine,MAMMALIA,LC
Neoromicia tenuipinnis,,LC,Slenderwinged Pipistrelle Bat,MAMMALIA,LC
Arvicanthis rufinus,,LC,Guinean Arvicanthis,MAMMALIA,LC
Sylvisorex pluvialis,,DD,Rain Forest Shrew,MAMMALIA,DD
Sylvisorex konganensis,,DD,Kongana Shrew,MAMMALIA,DD
Ptychadena tellinii,,LC,Central Grassland Frog,AMPHIBIA,LC
Arthroleptis variabilis,,LC,Buea Screeching Frog,AMPHIBIA,LC
Astylosternus batesi,,LC,Benito River Night Frog,AMPHIBIA,LC
Sclerophrys camerunensis,,LC,Oban Toad,AMPHIBIA,LC
Sclerophrys steindachneri,,LC,Steindachner's Toad,AMPHIBIA,LC
Hemisus marmoratus,,LC,Marbled Snout-burrower,AMPHIBIA,LC
Hyperolius tuberculatus,,LC,Rainforest Reed Frog,AMPHIBIA,LC
Kassina maculosa,,LC,Marbled Running Frog,AMPHIBIA,LC
Kassina senegalensis,,LC,Senegal Land Frog,AMPHIBIA,LC
Phrynobatrachus africanus,,LC,African Swamp Frog,AMPHIBIA,LC
Phrynobatrachus auritus,,LC,Eared River Frog,AMPHIBIA,LC
Phrynobatrachus calcaratus,,LC,Boutry River Frog,AMPHIBIA,LC
Xenopus boumbaensis,,NT,Mawa Clawed Frog,AMPHIBIA,NT
Xenopus laevis,,LC,African Clawed Frog,AMPHIBIA,LC
Xenopus pygmaeus,,LC,Bouchia Clawed Frog,AMPHIBIA,LC
Hildebrandtia ornata,,LC,African Ornate Frog,AMPHIBIA,LC
Hoplobatrachus occipitalis,,LC,African Groove-crowned Frog,AMPHIBIA,LC
Ptychadena aequiplicata,,LC,Victoria Grassland Frog,AMPHIBIA,LC
Ptychadena bibroni,,LC,Broad-banded Grass Frog,AMPHIBIA,LC
Ptychadena oxyrhynchus,,LC,Sharp-nosed Frog,AMPHIBIA,LC
Ptychadena perreti,,LC,Perret's Grassland Frog,AMPHIBIA,LC
Ptychadena trinodis,,LC,Dakar Grassland Frog,AMPHIBIA,LC
Chiromantis rufescens,,LC,African Foam-nest Treefrog,AMPHIBIA,LC
Herpele squalostoma,,LC,Congo Caecilian,AMPHIBIA,LC
Hipposideros vittatus,,NT,Striped Leaf-nosed Bat,MAMMALIA,NT
Chlorocebus tantalus,,LC,Tantalus Monkey,MAMMALIA,LC
Sciurocheirus gabonensis,,LC,Gabon Squirrel Galago,MAMMALIA,LC
Homo sapiens,,LC,Human,MAMMALIA,LC
Cercocebus agilis,,LC,Agile Mangabey,MAMMALIA,LC
Perodicticus edwardsi,,LC,Milne-Edwards's Potto,MAMMALIA,LC
Cercopithecus denti,,LC,Dent’s Monkey,MAMMALIA,LC
Colobus guereza ssp. occidentalis,occidentalis,LC,Western Guereza,MAMMALIA,LC
Cercopithecus ascanius ssp. schmidti,schmidti,LC,Schmidt's Red-tailed Monkey,MAMMALIA,LC
Chamaeleo africanus,,LC,Basilisk Chameleon,REPTILIA,LC
Cycloderma aubryi,,VU,Aubry's Flapshell Turtle,REPTILIA,VU
Chamaeleo gracilis,,LC,Slender Chameleon,REPTILIA,LC
Trioceros oweni,,LC,Owen's Three-horned Chameleon,REPTILIA,LC
Trioceros cristatus,,LC,Sail Backed Chameleon,REPTILIA,LC
Dasypeltis fasciata,,LC,Western Forest Egg Eater,REPTILIA,LC
Gonionotophis grantii,,LC,Grant's File Snake,REPTILIA,LC
Natriciteres olivacea,,LC,Olive Marsh Snake,REPTILIA,LC
Dendroaspis polylepis,,LC,Black Mamba,REPTILIA,LC
Varanus exanthematicus,,LC,Savannah Monitor,REPTILIA,LC
Panaspis togoensis,,LC,Togo Skink,REPTILIA,LC
Peliperdix schlegelii,,LC,Schlegel's Francolin,AVES,LC
Peliperdix lathami,,LC,Forest Francolin,AVES,LC
Pternistis clappertoni,,LC,Clapperton's Francolin,AVES,LC
Pternistis icterorhynchus,,LC,Heuglin's Francolin,AVES,LC
Pternistis squamatus,,LC,Scaly Francolin,AVES,LC
Coturnix delegorguei,,LC,Harlequin Quail,AVES,LC
Synoicus adansonii,,LC,African Blue Quail,AVES,LC
Ptilopachus petrosus,,LC,Stone Partridge,AVES,LC
Agelastes niger,,LC,Black Guineafowl,AVES,LC
Numida meleagris,,LC,Helmeted Guineafowl,AVES,LC
Guttera plumifera,,LC,Plumed Guineafowl,AVES,LC
Dendrocygna bicolor,,LC,Fulvous Whistling-duck,AVES,LC
Dendrocygna viduata,,LC,White-faced Whistling-duck,AVES,LC
Alopochen aegyptiaca,,LC,Egyptian Goose,AVES,LC
Plectropterus gambensis,,LC,Spur-winged Goose,AVES,LC
Pteronetta hartlaubii,,LC,Hartlaub's Duck,AVES,LC
Nettapus auritus,,LC,African Pygmy-goose,AVES,LC
Spatula clypeata,,LC,Northern Shoveler,AVES,LC
Anas acuta,,LC,Northern Pintail,AVES,LC
Spatula querquedula,,LC,Garganey,AVES,LC
Aythya nyroca,,NT,Ferruginous Duck,AVES,NT
Turnix sylvaticus,,LC,Common Buttonquail,AVES,LC
Indicator maculatus,,LC,Spotted Honeyguide,AVES,LC
Indicator indicator,,LC,Greater Honeyguide,AVES,LC
Indicator minor,,LC,Lesser Honeyguide,AVES,LC
Indicator willcocksi,,LC,Willcocks's Honeyguide,AVES,LC
Indicator exilis,,LC,Least Honeyguide,AVES,LC
Melichneutes robustus,,LC,Lyre-tailed Honeyguide,AVES,LC
Melignomon zenkeri,,LC,Zenker's Honeyguide,AVES,LC
Prodotiscus insignis,,LC,Cassin's Honeybird,AVES,LC
Prodotiscus regulus,,LC,Brown-backed Honeybird,AVES,LC
Jynx torquilla,,LC,Eurasian Wryneck,AVES,LC
Jynx ruficollis,,LC,Rufous-necked Wryneck,AVES,LC
Verreauxia africana,,LC,African Piculet,AVES,LC
Campethera punctuligera,,LC,Fine-spotted Woodpecker,AVES,LC
Campethera nubica,,LC,Nubian Woodpecker,AVES,LC
Campethera abingoni,,LC,Golden-tailed Woodpecker,AVES,LC
Campethera maculosa,,LC,Little Green Woodpecker,AVES,LC
Campethera nivosa,,LC,Buff-spotted Woodpecker,AVES,LC
Campethera caroli,,LC,Brown-eared Woodpecker,AVES,LC
Dendropicos poecilolaemus,,LC,Speckle-breasted Woodpecker,AVES,LC
Dendropicos fuscescens,,LC,Cardinal Woodpecker,AVES,LC
Dendropicos namaquus,,LC,Bearded Woodpecker,AVES,LC
Dendropicos xantholophus,,LC,Yellow-crested Woodpecker,AVES,LC
Dendropicos obsoletus,,LC,Brown-backed Woodpecker,AVES,LC
Gymnobucco sladeni,,LC,Sladen's Barbet,AVES,LC
Pogoniulus scolopaceus,,LC,Speckled Tinkerbird,AVES,LC
Pogoniulus atroflavus,,LC,Red-rumped Tinkerbird,AVES,LC
Pogoniulus subsulphureus,,LC,Yellow-throated Tinkerbird,AVES,LC
Pogoniulus bilineatus,,LC,Yellow-rumped Tinkerbird,AVES,LC
Pogoniulus chrysoconus,,LC,Yellow-fronted Tinkerbird,AVES,LC
Buccanodon duchaillui,,LC,Yellow-spotted Barbet,AVES,LC
Tricholaema hirsuta,,LC,Hairy-breasted Barbet,AVES,LC
Lybius vieilloti,,LC,Vieillot's Barbet,AVES,LC
Pogonornis bidentatus,,LC,Double-toothed Barbet,AVES,LC
Pogonornis dubius,,LC,Bearded Barbet,AVES,LC
Pogonornis rolleti,,LC,Black-breasted Barbet,AVES,LC
Lophoceros camurus,,LC,Dwarf Hornbill,AVES,LC
Lophoceros nasutus,,LC,African Grey Hornbill,AVES,LC
Bycanistes subcylindricus,,LC,Grey-cheeked Hornbill,AVES,LC
Bycanistes albotibialis,,LC,White-thighed Hornbill,AVES,LC
Ceratogymna atrata,,LC,Black-casqued Hornbill,AVES,LC
Bucorvus abyssinicus,,VU,Northern Ground-hornbill,AVES,VU
Upupa epops,,LC,Common Hoopoe,AVES,LC
Phoeniculus purpureus,,LC,Green Woodhoopoe,AVES,LC
Phoeniculus bollei,,LC,White-headed Woodhoopoe,AVES,LC
Rhinopomastus castaneiceps,,LC,Forest Scimitarbill,AVES,LC
Rhinopomastus aterrimus,,LC,Black Scimitarbill,AVES,LC
Apaloderma narina,,LC,Narina Trogon,AVES,LC
Apaloderma aequatoriale,,LC,Bare-cheeked Trogon,AVES,LC
Coracias garrulus,,LC,European Roller,AVES,LC
Coracias abyssinicus,,LC,Abyssinian Roller,AVES,LC
Coracias naevius,,LC,Purple Roller,AVES,LC
Coracias cyanogaster,,LC,Blue-bellied Roller,AVES,LC
Eurystomus glaucurus,,LC,Broad-billed Roller,AVES,LC
Eurystomus gularis,,LC,Blue-throated Roller,AVES,LC
Alcedo quadribrachys,,LC,Shining-blue Kingfisher,AVES,LC
Corythornis leucogaster,,LC,White-bellied Kingfisher,AVES,LC
Ispidina picta,,LC,African Pygmy-kingfisher,AVES,LC
