taxonid,scientific_name,subspecies,rank,subpopulation,category,country,Common Name,Species Class,Threat Class
39321,Diceros bicornis ssp. minor,minor,ssp.,,CR,,South-eastern Black Rhino,MAMMALIA,CR
39994,Gorilla beringei,,,,CR,,Eastern Gorilla,MAMMALIA,CR
39995,Gorilla beringei ssp. graueri,graueri,ssp.,,CR,,Grauer's Gorilla,MAMMALIA,CR
39999,Gorilla beringei ssp. beringei,beringei,ssp.,,EN,,Mountain Gorilla,MAMMALIA,EN
40597,Huetia leucorhina,,,,DD,,Congo Golden Mole,MAMMALIA,DD
40601,Chrysochloris stuhlmanni,,,,LC,,Stuhlmann's Golden Mole,MAMMALIA,LC
40647,Papio anubis,,,,LC,,Olive Baboon,MAMMALIA,LC
40648,Piliocolobus parmentieri,,,,EN,,Lomami Red Colobus,MAMMALIA,EN
40649,Galagoides demidoff,,,,LC,,Demidoff's Dwarf Galago,MAMMALIA,LC
40653,Galagoides thomasi,,,,LC,,Thomas's Dwarf Galago,MAMMALIA,LC
41013,Equus quagga,,,,NT,,Plains Zebra,MAMMALIA,NT
41292,Poelagus marjorita,,,,LC,,Bunyoro Rabbit,MAMMALIA,LC
41340,Crocidura mutesae,,,,DD,,Ugandan Musk Shrew,MAMMALIA,DD
41348,Crocidura olivieri,,,,LC,,Olivier's Shrew,MAMMALIA,LC
41360,Crocidura tarella,,,,EN,,Ugandan Shrew,MAMMALIA,EN
41380,Myosorex babaulti,,,,LC,,Babault's Mouse Shrew,MAMMALIA,LC
41445,Sylvisorex lunaris,,,,NT,,Moon Forest Shrew,MAMMALIA,NT
41504,Orycteropus afer,,,,LC,,Aardvark,MAMMALIA,LC
41533,Nycticeinops schlieffeni,,,,LC,,Schlieffen's Bat,MAMMALIA,LC
41589,Nandinia binotata,,,,LC,,African Palm Civet,MAMMALIA,LC
41590,Atilax paludinosus,,,,LC,,Marsh Mongoose,MAMMALIA,LC
41591,Bdeogale crassicauda,,,,LC,,Bushy-tailed Mongoose,MAMMALIA,LC
